# line,type,amount,ministry,source
106,Έσοδα,3939000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
107,Έσοδα,7172000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Ειδικοί φόροι κατανάλωσης
108,Έσοδα,95000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ υγραερίων
109,Έσοδα,92000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.
110,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
112,Έσοδα,3000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ υγραερίων  - εισαγόμενα προϊόντα
113,Έσοδα,2066000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ βενζινών
114,Έσοδα,2066000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ βενζινών  - προϊόντα εγχώρια και από Ε.Ε.
115,Έσοδα,1449000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ diesel κίνησης
116,Έσοδα,1244000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ diesel κίνησης  - προϊόντα εγχώρια και από Ε.Ε.
117,Έσοδα,205000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ diesel κίνησης   - εισαγόμενα προϊόντα
118,Έσοδα,253000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ diesel θέρμανσης
119,Έσοδα,193000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.
120,Έσοδα,60000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ diesel θέρμανσης  - εισαγόμενα προϊόντα
121,Έσοδα,164000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στην ηλεκτρική ενέργεια
122,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
124,Έσοδα,164000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στην ηλεκτρική ενέργεια
125,Έσοδα,34000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στο φυσικό αέριο
126,Έσοδα,34000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στο φυσικό αέριο
127,Έσοδα,38000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ λοιπών ενεργειακών προϊόντων
128,Έσοδα,35000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.
129,Έσοδα,2334000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στα προϊόντα καπνού
130,Έσοδα,2308000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.
131,Έσοδα,26000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες
132,Έσοδα,353000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
133,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
135,Έσοδα,207000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στη μπύρα
136,Έσοδα,207000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.
137,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στο κρασί
138,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.
139,Έσοδα,147000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος κατανάλωσης στον καφέ
140,Έσοδα,95000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.
141,Έσοδα,52000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα
142,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
143,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
145,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία
146,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Ειδικός φόρος πολυτελείας εμπορευμάτων
147,Έσοδα,335000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι με μορφή χαρτοσήμου
148,Έσοδα,335000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Ψηφιακό τέλος συναλλαγής
149,Έσοδα,335000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Ψηφιακό τέλος συναλλαγής
150,Έσοδα,2025,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Οικονομικό έτος:
152,Έσοδα,670000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών
153,Έσοδα,110000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
